Category: Jobs & Education

Month,AI: (United States),Engineering: (United States),Computer Science: (United States)
2013-06,2,70,19
2013-07,2,73,20
2013-08,3,81,24
2013-09,3,88,28
2013-10,3,86,28
2013-11,3,82,27
2013-12,2,71,24
2014-01,3,88,29
2014-02,3,82,26
2014-03,3,86,29
2014-04,3,88,29
2014-05,2,81,28
2014-06,2,79,22
2014-07,2,77,22
2014-08,3,88,28
2014-09,3,100,30
2014-10,3,100,30
2014-11,3,88,29
2014-12,2,80,29
2015-01,3,87,31
2015-02,3,89,29
2015-03,2,97,33
2015-04,2,100,34
2015-05,2,93,28
2015-06,2,86,26
2015-07,2,73,23
2015-08,2,86,30
2015-09,2,100,33
2015-10,2,96,34
2015-11,2,87,34
2015-12,2,78,27
2016-01,2,86,30
2016-02,2,84,29
2016-03,2,81,29
2016-04,2,83,30
2016-05,2,77,26
2016-06,2,67,22
2016-07,2,64,21
2016-08,2,78,29
2016-09,2,85,29
2016-10,2,84,30
2016-11,2,72,29
2016-12,2,69,27
2017-01,3,88,30
2017-02,4,83,29
2017-03,3,86,31
2017-04,3,81,33
2017-05,3,80,29
2017-06,2,67,23
2017-07,2,65,25
2017-08,3,77,25
2017-09,3,84,29
2017-10,4,89,35
2017-11,3,82,32
2017-12,3,62,27
2018-01,3,81,31
2018-02,3,77,28
2018-03,3,79,30
2018-04,4,76,32
2018-05,4,73,29
2018-06,3,63,23
2018-07,3,61,23
2018-08,3,75,30
2018-09,4,87,32
2018-10,5,85,37
2018-11,4,70,29
2018-12,3,64,26
2019-01,4,76,33
2019-02,5,75,28
2019-03,4,79,31
2019-04,4,78,32
2019-05,4,71,28
2019-06,3,60,24
2019-07,3,60,23
2019-08,4,73,29
2019-09,4,83,33
2019-10,4,79,39
2019-11,4,70,31
2019-12,3,63,27
2020-01,4,76,33
2020-02,4,75,30
2020-03,3,54,23
2020-04,3,53,25
2020-05,3,56,23
2020-06,3,53,24
2020-07,4,54,23
2020-08,4,61,26
2020-09,4,67,24
2020-10,3,61,27
2020-11,3,50,23
2020-12,3,47,24
2021-01,3,55,21
2021-02,4,54,28
2021-03,3,56,24
2021-04,4,55,25
2021-05,3,52,25
2021-06,3,48,24
2021-07,3,50,21
2021-08,4,57,27
2021-09,4,61,29
2021-10,4,60,28
2021-11,4,55,27
2021-12,4,52,24
2022-01,5,68,32
2022-02,5,68,32
2022-03,5,73,38
2022-04,6,77,46
2022-05,5,64,36
2022-06,6,57,26
2022-07,5,55,27
2022-08,6,69,38
2022-09,7,71,40
2022-10,7,73,40
2022-11,7,63,38
2022-12,10,56,32
2023-01,15,75,41
2023-02,19,69,35
2023-03,24,73,39
2023-04,33,70,44
